,Federal States,Total,Male,Female,Total Germans,Male Germans,Female Germans,Total Foreigners,Male Foreigners,Female Foreigners
1,Schleswig Holstein,2800119,1360484,1439635,2683060,1304356,1378704,117059,56128,60931
2,Hamburg,1706696,825451,881245,1492489,715777,776712,214207,109674,104533
3,Niedersachsen,7777992,3803776,3974216,7352720,3588018,3764702,425272,215758,209514
4,Bremen,650863,316102,334761,578877,279452,299425,71986,36650,35336
5,Nordrhein Westfalen,17538251,8517934,9020318,15932038,7712957,8219081,1606214,804977,801237
6,Hessen,5971816,2913862,3057954,5307140,2585547,2721593,664676,328315,336361
7,Rheinland Pfalz,3989808,1950352,2039456,3717802,1815758,1902044,272006,134594,137412
8,Baden Wurttemberg,10486660,5132555,5354105,9355239,4565602,4789637,1131421,566953,564468
9,Bayern,12397614,6062701,6334913,11379653,5555203,5824450,1017961,507498,510463
10,Saarland,999623,485050,514573,933397,451859,481538,66226,33191,33035
11,Berlin,3292365,1599653,1692712,2918072,1413165,1504907,374293,186488,187805
12,Brandenburg,2455780,1208327,1247453,2413079,1187041,1226038,42701,21286,21415
13,Mecklenburg Vorpommern,1609982,793140,816841,1583154,778948,804206,26827,14192,12635
14,Sachsen,4056799,1977567,2079232,3979538,1936517,2043021,77261,41050,36211
15,Sachsen Anhalt,2287040,1117016,1170024,2247873,1095085,1152788,39167,21931,17236
16,Thuringia,2188589,1076074,1112515,2155853,1058769,1097084,32736,17305,15431
